Quarter,County,Waste Type,Waste Category,Waste Amount (tonnes)
2004_Q1,Donegal,,Organic Waste,24267.08
2004_Q1,Down,Hazardous,Chemical Waste,20457.44
2004_Q1,Down,Hazardous,Electronic Waste,10684.83
2004_Q1,Down,Hazardous,Industrial Hazardous Waste,17567.0
,Down,Hazardous,Medical Waste,9858.23
2004_Q1,Down,Non-Hazardous,Agricultural Waste,10954.41
2004_Q1,Down,Non-Hazardous,Construction and Demolition Waste,12247.07
2004_Q1,Down,Non-Hazardous,Industrial Non-Hazardous Waste,15799.85
2004_Q1,Down,Non-Hazardous,Municipal Solid Waste,16282.0
2004_Q1,Down,Non-Hazardous,Organic Waste,13383.0
2004_Q2,Dublin,Hazardous,,15511.22
2004_Q1,Dublin,Hazardous,Electronic Waste,
2004_Q1,Dublin,Hazardous,Industrial Hazardous Waste,7893.0
2004_Q1,Dublin,Hazardous,Medical Waste,
2004_Q1,Dublin,Non-Hazardous,Agricultural Waste,
2004_Q1,Dublin,Non-Hazardous,Construction and Demolition Waste,10351.0
2004_Q1,Dublin,Non-Hazardous,Industrial Non-Hazardous Waste,11345.0
2004_Q1,Dublin,Non-Hazardous,Municipal Solid Waste,19601.05
2004_Q1,Dublin,Non-Hazardous,Organic Waste,20713.0
2004_Q1,Galway,Hazardous,Chemical Waste,17742.36
2004_Q1,Galway,Hazardous,Electronic Waste,17394.06
2004_Q1,Galway,Hazardous,Industrial Hazardous Waste,20974.8
2004_Q1,Galway,Hazardous,Medical Waste,24116.0
2004_Q1,Galway,Non-Hazardous,Agricultural Waste,15002.9
2004_Q1,Galway,Non-Hazardous,Construction and Demolition Waste,24998.0
,Galway,Non-Hazardous,Industrial Non-Hazardous Waste,8284.2
,Galway,Non-Hazardous,Municipal Solid Waste,11052.16
2004_Q1,Galway,Non-Hazardous,Organic Waste,15292.02
2004_Q1,Kerry,Hazardous,Chemical Waste,12869.7
2004_Q1,Kerry,Hazardous,Electronic Waste,14028.22
2004_Q1,Kerry,Hazardous,Industrial Hazardous Waste,12578.99
2004_Q1,Kerry,Hazardous,Medical Waste,14720.0
2004_Q1,Kerry,,Agricultural Waste,16094.76
2004_Q1,Kerry,Non-Hazardous,Construction and Demolition Waste,11566.45
2004_Q1,Kerry,Non-Hazardous,Industrial Non-Hazardous Waste,13963.23
,Kerry,Non-Hazardous,Municipal Solid Waste,22681.56
2004_Q1,Kerry,Non-Hazardous,Organic Waste,19274.01
2004_Q1,Kildare,Hazardous,Chemical Waste,7762.18
2004_Q1,Kildare,Hazardous,Electronic Waste,13908.1
2004_Q1,Kildare,Hazardous,Industrial Hazardous Waste,8251.92
2004_Q1,Kildare,Hazardous,Medical Waste,13052.02
2004_Q1,Kildare,Non-Hazardous,Agricultural Waste,17418.54
2004_Q1,Kildare,Non-Hazardous,Construction and Demolition Waste,20218.94
2004_Q1,Kildare,Non-Hazardous,Industrial Non-Hazardous Waste,13734.78
2004_Q1,Kildare,Non-Hazardous,Municipal Solid Waste,3373.04
2004_Q3,Kildare,Non-Hazardous,Organic Waste,11669.54
2004_Q1,Kilkenny,Hazardous,Chemical Waste,15707.08
2004_Q1,Kilkenny,Hazardous,Electronic Waste,5630.0
2004_Q1,Kilkenny,,Industrial Hazardous Waste,9866.0
2004_Q1,Kilkenny,Hazardous,Medical Waste,10215.0
2004_Q1,Kilkenny,Non-Hazardous,Agricultural Waste,22862.59
2004_Q1,,Non-Hazardous,Construction and Demolition Waste,17042.51
2004_Q1,Kilkenny,Non-Hazardous,Industrial Non-Hazardous Waste,
2004_Q1,Kilkenny,Non-Hazardous,Municipal Solid Waste,6399.67
2004_Q1,Kilkenny,Non-Hazardous,Organic Waste,15130.86
2004_Q4,Laois,,Chemical Waste,
2004_Q1,Laois,Hazardous,Electronic Waste,16230.0
2004_Q1,Laois,Hazardous,Industrial Hazardous Waste,22688.61
2004_Q1,Laois,Hazardous,Medical Waste,17827.83
2004_Q1,Laois,Non-Hazardous,Agricultural Waste,22550.96
2004_Q1,Laois,Non-Hazardous,Construction and Demolition Waste,18475.0
2004_Q4,Laois,Non-Hazardous,Industrial Non-Hazardous Waste,16544.0
2004_Q1,Laois,Non-Hazardous,Municipal Solid Waste,3949.0
2004_Q1,Laois,Non-Hazardous,Organic Waste,19581.86
2004_Q1,Limerick,Hazardous,Chemical Waste,15001.92
2004_Q1,Limerick,Hazardous,Electronic Waste,19744.0
2004_Q1,Limerick,Hazardous,Industrial Hazardous Waste,9388.92
2004_Q1,Limerick,Hazardous,Medical Waste,23076.0
2004_Q1,,Non-Hazardous,Agricultural Waste,11864.88
2004_Q1,Limerick,,Construction and Demolition Waste,8104.45
2004_Q1,,Non-Hazardous,Industrial Non-Hazardous Waste,17413.72
2004_Q1,Limerick,Non-Hazardous,Municipal Solid Waste,18868.44
2004_Q1,Limerick,Non-Hazardous,Organic Waste,18627.71
2004_Q1,Louth,Hazardous,Chemical Waste,13304.68
2004_Q1,Louth,Hazardous,Electronic Waste,12779.46
2004_Q1,Louth,Hazardous,Industrial Hazardous Waste,17907.23
2004_Q1,Louth,Hazardous,Medical Waste,8553.0
2004_Q1,Louth,Non-Hazardous,Agricultural Waste,3873.01
2004_Q1,Louth,Non-Hazardous,Construction and Demolition Waste,16319.62
2004_Q1,Louth,,Industrial Non-Hazardous Waste,9668.0
2004_Q1,Louth,Non-Hazardous,Municipal Solid Waste,10583.15
2004_Q1,Louth,Non-Hazardous,Organic Waste,20001.0
2004_Q1,Mayo,Hazardous,Chemical Waste,
2004_Q1,Mayo,Hazardous,Electronic Waste,
2004_Q1,Mayo,Hazardous,Industrial Hazardous Waste,13956.0
2004_Q1,Mayo,Hazardous,Medical Waste,11764.0
2004_Q1,Mayo,Non-Hazardous,Agricultural Waste,12201.5
2004_Q1,Mayo,Non-Hazardous,Construction and Demolition Waste,18425.3
2004_Q1,Mayo,Non-Hazardous,Industrial Non-Hazardous Waste,15666.0
,Mayo,Non-Hazardous,Municipal Solid Waste,15706.0
,Mayo,Non-Hazardous,Organic Waste,15794.15
2004_Q1,Meath,Hazardous,Chemical Waste,11621.0
2004_Q1,Meath,Hazardous,Electronic Waste,15018.13
2004_Q1,,Hazardous,Industrial Hazardous Waste,9833.46
2004_Q1,Meath,Hazardous,Medical Waste,17234.38
2004_Q1,Meath,Non-Hazardous,Agricultural Waste,9686.81
2004_Q4,Meath,Non-Hazardous,Construction and Demolition Waste,19211.71
2004_Q1,Meath,Non-Hazardous,,17153.0
2004_Q1,Meath,Non-Hazardous,Municipal Solid Waste,13774.0
2004_Q1,Meath,Non-Hazardous,Organic Waste,19516.0
2004_Q4,Monaghan,Hazardous,Chemical Waste,10425.55
2004_Q1,Monaghan,,Electronic Waste,12953.86
2004_Q1,Monaghan,Hazardous,Industrial Hazardous Waste,19736.79
2004_Q1,Monaghan,Hazardous,Medical Waste,21188.9
2004_Q1,Monaghan,Non-Hazardous,Agricultural Waste,5986.25
2004_Q1,Monaghan,Non-Hazardous,Construction and Demolition Waste,17257.0
2004_Q4,Monaghan,Non-Hazardous,Industrial Non-Hazardous Waste,17597.0
2004_Q1,Monaghan,Non-Hazardous,Municipal Solid Waste,18844.84
2004_Q1,Monaghan,Non-Hazardous,Organic Waste,9949.0
,Offaly,Hazardous,Chemical Waste,15691.1
2004_Q1,Offaly,,Electronic Waste,16201.44
2004_Q1,Offaly,Hazardous,Industrial Hazardous Waste,23245.56
2004_Q1,Offaly,Hazardous,Medical Waste,15847.65
2004_Q1,Offaly,Non-Hazardous,Agricultural Waste,21988.39
2004_Q1,Offaly,Non-Hazardous,Construction and Demolition Waste,8798.48
2004_Q1,Offaly,Non-Hazardous,Industrial Non-Hazardous Waste,18906.16
,Offaly,Non-Hazardous,Municipal Solid Waste,18188.78
2004_Q1,Offaly,Non-Hazardous,Organic Waste,9379.47
2004_Q1,Nan,Hazardous,Chemical Waste,3927.8
2004_Q4,Nan,Hazardous,Electronic Waste,18979.0
2004_Q1,Roscommon,Hazardous,Industrial Hazardous Waste,7228.97
2004_Q1,Roscommon,Hazardous,Medical Waste,9163.45
2004_Q1,Roscommon,Non-Hazardous,Agricultural Waste,14244.0
2004_Q1,Roscommon,Non-Hazardous,Construction and Demolition Waste,24120.0
2004_Q1,Roscommon,Non-Hazardous,Industrial Non-Hazardous Waste,21464.25
2004_Q1,Roscommon,Non-Hazardous,Municipal Solid Waste,14811.56
2004_Q1,Roscommon,Non-Hazardous,Organic Waste,14060.23
2004_Q1,Sligo,Hazardous,Chemical Waste,21678.93
2004_Q1,Sligo,Hazardous,Electronic Waste,21075.75
2004_Q1,Sligo,Hazardous,Industrial Hazardous Waste,6014.45
2004_Q1,Sligo,Hazardous,Medical Waste,12905.34
2004_Q1,Sligo,Non-Hazardous,Agricultural Waste,15443.32
2004_Q1,Sligo,,Construction and Demolition Waste,18241.22
2004_Q2,Sligo,Non-Hazardous,Industrial Non-Hazardous Waste,7237.0
2004_Q1,Sligo,,Municipal Solid Waste,8245.51
2004_Q1,,Non-Hazardous,Organic Waste,9701.02
2004_Q1,Tipperary,Hazardous,Chemical Waste,19337.0
2004_Q1,Tipperary,Hazardous,Electronic Waste,19519.65
2004_Q1,Tipperary,Hazardous,Industrial Hazardous Waste,14825.76
2004_Q1,Tipperary,Hazardous,Medical Waste,18454.0
2004_Q1,Tipperary,Non-Hazardous,Agricultural Waste,9287.69
2004_Q1,Tipperary,Non-Hazardous,Construction and Demolition Waste,13782.89
2004_Q1,Tipperary,Non-Hazardous,N A N,14332.0
,Tipperary,Non-Hazardous,Municipal Solid Waste,9599.71
2004_Q1,Tipperary,,Organic Waste,8049.25
2004_Q1,Waterford,Hazardous,Chemical Waste,
2004_Q1,Waterford,Hazardous,Electronic Waste,6693.94
2004_Q1,Waterford,Hazardous,Industrial Hazardous Waste,9343.68
2004_Q1,Waterford,Hazardous,Medical Waste,14127.98
2004_Q1,Waterford,Non-Hazardous,Agricultural Waste,10279.7
2004_Q1,Waterford,Non-Hazardous,Construction and Demolition Waste,19998.7
2004_Q1,Waterford,,Industrial Non-Hazardous Waste,15270.63
2004_Q4,Waterford,Non-Hazardous,Municipal Solid Waste,21425.34
2004_Q1,Waterford,Non-Hazardous,Organic Waste,144382.8
2004_Q1,,Hazardous,Chemical Waste,8801.11
2004_Q1,Westmeath,Hazardous,,11971.12
2004_Q1,Westmeath,,Industrial Hazardous Waste,25176.0
2004_Q1,Westmeath,Hazardous,Medical Waste,14909.0
2004_Q1,Westmeath,Non-Hazardous,Agricultural Waste,14683.0
2004_Q1,Westmeath,Non-Hazardous,Construction and Demolition Waste,15390.0
2004_Q1,Westmeath,Non-Hazardous,Industrial Non-Hazardous Waste,13005.11
2004_Q1,Westmeath,,Municipal Solid Waste,9922.4
2004_Q1,Westmeath,Non-Hazardous,Organic Waste,12008.31
2004_Q1,Wexford,Hazardous,Chemical Waste,21133.49
2004_Q1,Wexford,Hazardous,Electronic Waste,18959.42
2004_Q1,Wexford,,Industrial Hazardous Waste,16620.99
2004_Q1,Wexford,Hazardous,Medical Waste,13854.0
2004_Q1,Wexford,Non-Hazardous,Agricultural Waste,11791.59
2004_Q1,Wexford,Non-Hazardous,Construction and Demolition Waste,20192.36
2004_Q1,Wexford,Non-Hazardous,Industrial Non-Hazardous Waste,20659.86
2004_Q1,Wexford,Non-Hazardous,Municipal Solid Waste,18236.52
2004_Q1,Wexford,Non-Hazardous,Organic Waste,12048.0
2004_Q1,Wicklow,,,12030.05
2004_Q1,Wicklow,Hazardous,Electronic Waste,14902.49
2004_Q2,Wicklow,Hazardous,Industrial Hazardous Waste,21014.77
2004_Q1,Wicklow,Hazardous,Medical Waste,14161.94
,Wicklow,Non-Hazardous,Agricultural Waste,11712.56
2004_Q1,Wicklow,Non-Hazardous,Construction and Demolition Waste,16834.15
2004_Q1,Wicklow,Non-Hazardous,Industrial Non-Hazardous Waste,14819.0
2004_Q1,Wicklow,Non-Hazardous,Municipal Solid Waste,5386.0
2004_Q1,Wicklow,Non-Hazardous,Organic Waste,19212.86
2004_Q2,Antrim,Hazardous,Chemical Waste,18300.92
2004_Q2,Antrim,Hazardous,Electronic Waste,16384.7
2004_Q2,Antrim,Hazardous,Industrial Hazardous Waste,14939.34
2004_Q2,Antrim,Hazardous,Medical Waste,23244.22
2004_Q3,Antrim,Non-Hazardous,Agricultural Waste,10149.0
2004_Q2,Antrim,Non-Hazardous,Construction and Demolition Waste,7022.08
2004_Q2,Antrim,Non-Hazardous,Industrial Non-Hazardous Waste,17298.0
2004_Q1,Antrim,Non-Hazardous,Municipal Solid Waste,21490.77
2004_Q2,Antrim,Non-Hazardous,Organic Waste,3986.22
2004_Q2,Carlow,Hazardous,Chemical Waste,24072.49
2004_Q1,Carlow,Hazardous,Electronic Waste,14976.0
2004_Q2,Carlow,Hazardous,Industrial Hazardous Waste,11755.09
2004_Q2,Carlow,Hazardous,Medical Waste,9190.18
2004_Q1,Carlow,Non-Hazardous,Agricultural Waste,18551.64
2004_Q2,Carlow,Non-Hazardous,Construction and Demolition Waste,20953.87
2004_Q2,Carlow,Non-Hazardous,Industrial Non-Hazardous Waste,17159.96
2004_Q2,Carlow,Non-Hazardous,Municipal Solid Waste,14047.36
2004_Q2,Carlow,Non-Hazardous,Organic Waste,13777.72
2004_Q2,Cavan,Hazardous,,19854.45
2004_Q2,Cavan,Hazardous,Electronic Waste,94584.1
2004_Q2,,Hazardous,Industrial Hazardous Waste,16124.21
2004_Q2,Cavan,Hazardous,Medical Waste,21130.22
2004_Q2,Cavan,Non-Hazardous,Agricultural Waste,14802.15
2004_Q2,Cavan,Non-Hazardous,Construction and Demolition Waste,25863.33
2004_Q2,Cavan,Non-Hazardous,Industrial Non-Hazardous Waste,12838.91
2004_Q1,Cavan,Non-Hazardous,Municipal Solid Waste,15681.0
2004_Q2,Cavan,Non-Hazardous,Organic Waste,16585.0
2004_Q2,Clare,Hazardous,Chemical Waste,21367.18
2004_Q2,Clare,Hazardous,Electronic Waste,24583.51
2004_Q1,Clare,Hazardous,,18966.76
2004_Q2,Clare,Hazardous,Medical Waste,27041.38
2004_Q2,Clare,Non-Hazardous,Agricultural Waste,15834.77
2004_Q2,Clare,Non-Hazardous,Construction and Demolition Waste,
2004_Q2,Clare,Non-Hazardous,Industrial Non-Hazardous Waste,9503.59
2004_Q2,Clare,Non-Hazardous,Municipal Solid Waste,23241.62
2004_Q2,Clare,Non-Hazardous,Organic Waste,11995.0
2004_Q1,Cork,,Chemical Waste,15951.19
2004_Q2,Cork,Hazardous,Electronic Waste,16040.0
2004_Q2,Cork,Hazardous,Industrial Hazardous Waste,4401.48
2004_Q1,Cork,Hazardous,Medical Waste,17841.16
2004_Q1,Cork,,Agricultural Waste,12356.71
2004_Q2,Cork,Non-Hazardous,Construction and Demolition Waste,12321.97
2004_Q2,Cork,Non-Hazardous,Industrial Non-Hazardous Waste,13442.0
,,Non-Hazardous,Municipal Solid Waste,17107.54
2004_Q2,Cork,Non-Hazardous,Organic Waste,18298.6
2004_Q2,Donegal,,Chemical Waste,18265.06
2004_Q1,Donegal,Hazardous,Electronic Waste,18920.21
2004_Q2,Donegal,Hazardous,Industrial Hazardous Waste,4566.45
2004_Q2,Donegal,Hazardous,Medical Waste,15748.75
2004_Q2,Donegal,Non-Hazardous,Agricultural Waste,12339.66
2004_Q1,Donegal,Non-Hazardous,Construction and Demolition Waste,9467.41
2004_Q2,Donegal,Non-Hazardous,Industrial Non-Hazardous Waste,13335.0
2004_Q2,Donegal,Non-Hazardous,Municipal Solid Waste,19817.19
2004_Q2,Donegal,Non-Hazardous,Organic Waste,16819.45
2004_Q4,Down,Hazardous,Chemical Waste,18427.05
2004_Q2,Down,Hazardous,Electronic Waste,11075.68
2004_Q2,Down,Hazardous,Industrial Hazardous Waste,10957.2
2004_Q2,Down,Hazardous,Medical Waste,11092.15
2004_Q1,Down,Non-Hazardous,,21038.0
2004_Q1,Down,Non-Hazardous,Construction and Demolition Waste,19492.19
2004_Q2,Down,Non-Hazardous,Industrial Non-Hazardous Waste,14502.28
2004_Q2,Nan,Non-Hazardous,Municipal Solid Waste,18679.3
2004_Q2,Down,Non-Hazardous,Organic Waste,10544.35
2004_Q2,Dublin,Hazardous,Chemical Waste,158021.2
2004_Q2,Dublin,Hazardous,Electronic Waste,10711.09
2004_Q2,Dublin,Hazardous,Industrial Hazardous Waste,3347.37
2004_Q2,Dublin,Hazardous,Medical Waste,16911.0
2004_Q2,Dublin,Non-Hazardous,Agricultural Waste,18407.01
2004_Q2,Dublin,Non-Hazardous,Construction and Demolition Waste,7363.81
2004_Q2,Dublin,Non-Hazardous,Industrial Non-Hazardous Waste,14625.78
2004_Q2,Nan,Non-Hazardous,Municipal Solid Waste,18281.44
2004_Q2,Dublin,Non-Hazardous,Organic Waste,10212.0
,Galway,Hazardous,Chemical Waste,17583.8
2004_Q2,Galway,Hazardous,Electronic Waste,17725.38
2004_Q2,Galway,Hazardous,Industrial Hazardous Waste,
2004_Q2,Galway,Hazardous,Medical Waste,20671.32
2004_Q2,Galway,Non-Hazardous,Agricultural Waste,11997.54
2004_Q2,Galway,Non-Hazardous,Construction and Demolition Waste,
2004_Q2,,Non-Hazardous,Industrial Non-Hazardous Waste,13321.13
2004_Q2,Galway,Non-Hazardous,Municipal Solid Waste,13818.58
2004_Q2,Galway,Non-Hazardous,Organic Waste,25763.0
2004_Q2,Kerry,Hazardous,Chemical Waste,15883.0
2004_Q4,Kerry,Hazardous,Electronic Waste,11506.3
2004_Q1,Kerry,Hazardous,Industrial Hazardous Waste,13610.39
2004_Q2,Kerry,Hazardous,Medical Waste,
,Kerry,Non-Hazardous,Agricultural Waste,10160.0
2004_Q2,Kerry,Non-Hazardous,Construction and Demolition Waste,16434.64
2004_Q2,Kerry,Non-Hazardous,Industrial Non-Hazardous Waste,12309.52
2004_Q1,Kerry,Non-Hazardous,Municipal Solid Waste,12675.85
2004_Q2,Kerry,Non-Hazardous,Organic Waste,12059.58
2004_Q2,Kildare,Hazardous,Chemical Waste,21807.11
2004_Q2,Kildare,Hazardous,Electronic Waste,17772.2
2004_Q1,Kildare,,Industrial Hazardous Waste,19087.8
2004_Q2,Kildare,Hazardous,Medical Waste,14124.85
2004_Q1,Kildare,Non-Hazardous,Agricultural Waste,20883.26
2004_Q1,Kildare,Non-Hazardous,Construction and Demolition Waste,10732.21
2004_Q2,Kildare,Non-Hazardous,Industrial Non-Hazardous Waste,19052.0
2004_Q2,Kildare,Non-Hazardous,Municipal Solid Waste,14718.81
2004_Q3,Kildare,Non-Hazardous,Organic Waste,12361.93
2004_Q2,Kilkenny,Hazardous,Chemical Waste,15213.0
2004_Q1,Kilkenny,Hazardous,Electronic Waste,17328.0
2004_Q1,Kilkenny,Hazardous,Industrial Hazardous Waste,21133.76
2004_Q1,Kilkenny,Hazardous,Medical Waste,10452.38
2004_Q2,Kilkenny,,Agricultural Waste,14061.51
2004_Q2,Kilkenny,Non-Hazardous,Construction and Demolition Waste,7492.66
2004_Q2,Kilkenny,Non-Hazardous,Industrial Non-Hazardous Waste,16898.16
2004_Q2,Kilkenny,Non-Hazardous,Municipal Solid Waste,11157.0
2004_Q2,Kilkenny,Non-Hazardous,Organic Waste,7824.34
,Laois,Hazardous,Chemical Waste,15538.04
2004_Q2,Laois,Hazardous,Electronic Waste,21050.89
2004_Q2,Laois,Hazardous,Industrial Hazardous Waste,20459.0
2004_Q2,Laois,Hazardous,Medical Waste,12675.41
2004_Q2,Laois,Non-Hazardous,Agricultural Waste,17246.0
2004_Q2,Laois,Non-Hazardous,Construction and Demolition Waste,16721.45
2004_Q2,Laois,Non-Hazardous,Industrial Non-Hazardous Waste,10875.66
2004_Q2,Laois,Non-Hazardous,Municipal Solid Waste,18844.93
2004_Q1,Laois,Non-Hazardous,Organic Waste,13486.66
2004_Q2,Limerick,Hazardous,Chemical Waste,8062.17
2004_Q2,Limerick,Hazardous,,4356.0
,Limerick,Hazardous,Industrial Hazardous Waste,19563.71
,,Hazardous,,10078.78
2004_Q1,Limerick,Non-Hazardous,Agricultural Waste,8634.0
2004_Q2,Limerick,Non-Hazardous,Construction and Demolition Waste,19138.4
2004_Q2,Limerick,Non-Hazardous,Industrial Non-Hazardous Waste,122544.4
2004_Q1,Limerick,Non-Hazardous,Municipal Solid Waste,20279.09
2004_Q2,Limerick,Non-Hazardous,Organic Waste,24616.78
2004_Q2,Louth,Hazardous,Chemical Waste,5356.37
2004_Q3,Louth,Hazardous,Electronic Waste,6299.26
2004_Q2,Louth,,Industrial Hazardous Waste,16871.18
2004_Q2,Louth,Hazardous,Medical Waste,9975.0
2004_Q2,Louth,Non-Hazardous,Agricultural Waste,11947.6
2004_Q1,Louth,Non-Hazardous,Construction and Demolition Waste,169266.0
2004_Q2,Louth,Non-Hazardous,Industrial Non-Hazardous Waste,17354.67
2004_Q2,Louth,Non-Hazardous,Municipal Solid Waste,7174.46
2004_Q2,Louth,Non-Hazardous,Organic Waste,13372.4
2004_Q3,Mayo,Hazardous,Chemical Waste,18271.9
,Mayo,Hazardous,Electronic Waste,12426.92
2004_Q1,Mayo,Hazardous,Industrial Hazardous Waste,20245.38
2004_Q2,Mayo,Hazardous,Medical Waste,20439.29
2004_Q2,Mayo,Non-Hazardous,Agricultural Waste,17322.0
2004_Q1,,Non-Hazardous,Construction and Demolition Waste,9627.22
2004_Q2,Mayo,Non-Hazardous,Industrial Non-Hazardous Waste,10531.12
2004_Q1,Mayo,Non-Hazardous,Municipal Solid Waste,16836.78
2004_Q1,Mayo,Non-Hazardous,Organic Waste,7241.17
2004_Q2,Meath,Hazardous,Chemical Waste,16507.0
2004_Q2,Meath,Hazardous,Electronic Waste,17853.76
2004_Q1,Meath,Hazardous,Industrial Hazardous Waste,13924.28
2004_Q2,,Hazardous,Medical Waste,7685.2
2004_Q2,Meath,Non-Hazardous,Agricultural Waste,18743.53
2004_Q4,,Non-Hazardous,Construction and Demolition Waste,15544.71
2004_Q2,Meath,Non-Hazardous,Industrial Non-Hazardous Waste,
2004_Q2,Meath,Non-Hazardous,Municipal Solid Waste,16785.33
2004_Q3,Meath,Non-Hazardous,Organic Waste,24543.46
2004_Q2,Monaghan,Hazardous,Chemical Waste,19641.9
2004_Q2,Monaghan,Hazardous,Electronic Waste,10040.96
2004_Q2,Monaghan,Hazardous,Industrial Hazardous Waste,16526.3
2004_Q2,Monaghan,Hazardous,Medical Waste,13264.28
2004_Q1,,Non-Hazardous,Agricultural Waste,8324.0
2004_Q2,Monaghan,Non-Hazardous,Construction and Demolition Waste,13007.04
2004_Q1,Monaghan,Non-Hazardous,Industrial Non-Hazardous Waste,17015.73
2004_Q1,Monaghan,Non-Hazardous,Municipal Solid Waste,10385.04
2004_Q2,Monaghan,Non-Hazardous,Organic Waste,8365.0
2004_Q2,Nan,Hazardous,Chemical Waste,14223.15
2004_Q1,Offaly,Hazardous,Electronic Waste,14284.97
2004_Q2,Offaly,Hazardous,Industrial Hazardous Waste,16587.66
2004_Q2,Offaly,Hazardous,Medical Waste,12506.28
2004_Q1,Offaly,Non-Hazardous,Agricultural Waste,11150.0
2004_Q2,Offaly,Non-Hazardous,,13954.56
2004_Q2,Offaly,Non-Hazardous,Industrial Non-Hazardous Waste,25372.0
2004_Q2,Offaly,Non-Hazardous,Municipal Solid Waste,23762.54
2004_Q2,,Non-Hazardous,Organic Waste,20892.0
2004_Q1,,Hazardous,Chemical Waste,15773.0
2004_Q2,Roscommon,Hazardous,Electronic Waste,9775.59
2004_Q1,Roscommon,Hazardous,Industrial Hazardous Waste,12777.44
2004_Q2,Roscommon,Hazardous,Medical Waste,24142.35
,Roscommon,Non-Hazardous,Agricultural Waste,17702.71
2004_Q2,Roscommon,Non-Hazardous,Construction and Demolition Waste,18713.0
2004_Q2,Roscommon,,Industrial Non-Hazardous Waste,17136.89
2004_Q4,Roscommon,Non-Hazardous,,16106.32
2004_Q1,Roscommon,Non-Hazardous,Organic Waste,11447.35
2004_Q2,Sligo,Hazardous,Chemical Waste,18489.46
2004_Q2,Sligo,Hazardous,Electronic Waste,9914.0
2004_Q1,Sligo,Hazardous,Industrial Hazardous Waste,9589.0
2004_Q2,Sligo,Hazardous,Medical Waste,13538.12
