Quarter,County,Waste Type,Waste Category,Waste Amount (tonnes)
2004Q1,Galway,Non-Hazardous,O.r.g.a.n.i.c. W.a.s.t.e.,15292.020000
2004-01-01,co. Kerry,Hazardous,Chemical_Waste,12869.699999999999
01/01/2004,Kerry,Hazardous,Electronic Waste (E-Waste),"14,028.22"
01 January 2004,Kerry Co.,Hazardous,I n d u s t r i a l  H a z a r d o u s  W a s t e ,12578.990000
01-01-2004,Kerry,Hazardous,M e d i c a l  W a s t e ,14720
01-01-2004,Kerry,,A g r i c u l t u r a l  W a s t e ,16094.760000000002
2004Q1,Kerry co.,Non-Hazardous,Construction_and_Demolition_Waste,11566.450000
2004 Q1,Co. Kerry,Non-Hazardous,I.n.d.u.s.t.r.i.a.l. N.o.n.-H.a.z.a.r.d.o.u.s. W.a.s.t.e.,13963.230000000001
,co. Kerry,Non-Hazardous,Waste Solid Municipal,"22,681.56"
2004Q1,Kerry,Non-Hazardous,Organic_Waste,19274.01
2004Q1,co. Kildare,Hazardous,Waste Chemical,7762.179999999999
2004Q1,Kildare,Hazardous,electronic waste (e-waste),13908.1
01/01/2004,County Kildare,Hazardous,Waste Industrial Hazardous,"8,251.92"
01/01/2004,Kildare,Hazardous,   Medical Waste  ,13052.020000
01-01-2004,Kildare,Non-Hazardous,   Agricultural Waste  ,17418.540000
01-01-2004,Kildare,Non-Hazardous,and Demolition Construction Waste,20218.94
01-01-2004,Kildare Co.,Non-Hazardous,industrial non-hazardous waste,13734.780000
01-01-2004,Kildare County,Non-Hazardous,MUNICIPAL SOLID WASTE,"3,373.04"
2004 Q3,Kildare,Non-Hazardous,ORGANIC WASTE,11669.540000
2004Q1,Kilkenny,Hazardous,C.h.e.m.i.c.a.l. W.a.s.t.e.,15707.08
"January 01, 2004",Kilkenny,Hazardous,Electronic Waste (E-Waste),5630
2004Q1,Kilkenny co.,,industrial hazardous waste,9866
2004Q1,Kilkenny Co.,Hazardous,Medical Waste,10215
2004Q1,Kilkenny,Non-Hazardous,AGRICULTURAL WASTE,"22,862.59"
2004Q1,,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,17042.510000000002
2004Q1,Kilkenny,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,
2004Q1,Kilkenny County,Non-Hazardous,Municipal Solid Waste,"6,399.67"
2004-01-01,Kilkenny,Non-Hazardous,Organic Waste,"15,130.86"
2004 Q4,Laois,,Waste Chemical,
01 January 2004,co. Laois,Hazardous,electronic waste (e-waste),16230
01/01/2004,Laois,Hazardous,   Industrial Hazardous Waste  ,22688.609999999997
01/01/2004,Laois,Hazardous,M e d i c a l  W a s t e ,17827.829999999998
01/01/2004,Laois,Non-Hazardous,   Agricultural Waste  ,"22,550.96"
2004Q1,County Laois,Non-Hazardous,Construction and Demolition Waste,"18,475.00"
Q4 2004,Laois,Non-Hazardous,   Industrial Non-Hazardous Waste  ,16544
2004Q1,Laois,Non-Hazardous,Municipal_Solid_Waste,3949
2004Q1,Laois co.,Non-Hazardous,Waste Organic,19581.86
01/01/2004,Limerick,Hazardous,CHEMICAL WASTE,15001.92
2004Q1,Limerick,Hazardous,   Electronic Waste (E-Waste)  ,19744
2004Q1,county Limerick,Hazardous,Waste Industrial Hazardous,"9,388.92"
01/01/2004,Limerick,Hazardous,Medical_Waste,23076
01/01/2004,,Non-Hazardous,AGRICULTURAL WASTE,"11,864.88"
01 January 2004,Limerick,,construction and demolition waste,"8,104.45"
01/01/2004,,Non-Hazardous,Industrial Non-Hazardous Waste,17413.72
2004Q1,Limerick county,Non-Hazardous,Waste Solid Municipal,"18,868.44"
2004 Q1,county Limerick,Non-Hazardous,organic waste,"18,627.71"
2004Q1,Louth,Hazardous,C h e m i c a l  W a s t e ,13304.680000
01 January 2004,Louth co.,Hazardous,   Electronic Waste (E-Waste)  ,12779.46
01/01/2004,county Louth,Hazardous,INDUSTRIAL HAZARDOUS WASTE,"17,907.23"
01/01/2004,Louth,Hazardous,medical waste,8553
01/01/2004,co. Louth,Non-Hazardous,   Agricultural Waste  ,3873.010000
01 January 2004,county Louth,Non-Hazardous,Construction and Demolition Waste,16319.620000
2004Q1,Louth,,   Industrial Non-Hazardous Waste  ,9668
2004-01-01,Louth County,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,"10,583.15"
01/01/2004,Louth,Non-Hazardous,Organic Waste,20001
01-01-2004,Mayo,Hazardous,   Chemical Waste  ,
01 January 2004,Mayo,Hazardous,Electronic Waste (E-Waste),
2004Q1,Mayo,Hazardous,industrial hazardous waste,13956
2004Q1,Mayo,Hazardous,M.e.d.i.c.a.l. W.a.s.t.e.,11764
2004Q1,Mayo,Non-Hazardous,Agricultural_Waste,12201.5
01-01-2004,Mayo,Non-Hazardous,   Construction and Demolition Waste  ,18425.300000
01-01-2004,Mayo,Non-Hazardous,Industrial Non-Hazardous Waste,15666
,Mayo,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,15706
,Co. Mayo,Non-Hazardous,Organic_Waste,"15,794.15"
01/01/2004,Meath,Hazardous,Chemical_Waste,11621
01/01/2004,Meath,Hazardous,   Electronic Waste (E-Waste)  ,"15,018.13"
"January 01, 2004",,Hazardous,industrial hazardous waste,9833.460000000001
01-01-2004,county Meath,Hazardous,M.e.d.i.c.a.l. W.a.s.t.e.,17234.380000
"January 01, 2004",Meath,Non-Hazardous,   Agricultural Waste  ,9686.81
Q4 2004,Meath,Non-Hazardous,construction and demolition waste,19211.710000
01 January 2004,Meath,Non-Hazardous,   nan  ,17153
2004Q1,Meath,Non-Hazardous,Municipal Solid Waste,13774
2004Q1,Meath,Non-Hazardous,   Organic Waste  ,19516
Q4 2004,Monaghan,Hazardous,CHEMICAL WASTE,10425.550000
01/01/2004,Monaghan,,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),12953.860000
"January 01, 2004",County Monaghan,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,19736.79
2004Q1,Monaghan,Hazardous,   Medical Waste  ,21188.900000
"January 01, 2004",Monaghan,Non-Hazardous,Agricultural Waste,5986.25
2004Q1,Co. Monaghan,Non-Hazardous,construction and demolition waste,17257
Q4 2004,Monaghan,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,17597
2004Q1,Monaghan,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,18844.84
"January 01, 2004",co. Monaghan,Non-Hazardous,O.r.g.a.n.i.c. W.a.s.t.e.,9949
,Offaly,Hazardous,C h e m i c a l  W a s t e ,15691.100000
2004Q1,Offaly,,E l e c t r o n i c  W a s t e  (E -W a s t e ),16201.44
2004Q1,Offaly,Hazardous,INDUSTRIAL HAZARDOUS WASTE,23245.560000
"January 01, 2004",Offaly,Hazardous,Medical Waste,15847.650000
2004-01-01,Offaly,Non-Hazardous,Agricultural Waste,"21,988.39"
01-01-2004,Offaly,Non-Hazardous,   Construction and Demolition Waste  ,8798.48
01-01-2004,Offaly co.,Non-Hazardous,industrial non-hazardous waste,18906.160000
,Offaly,Non-Hazardous,Municipal_Solid_Waste,18188.78
01-01-2004,Offaly,Non-Hazardous,   Organic Waste  ,"9,379.47"
"January 01, 2004",nan county,Hazardous,Chemical Waste,3927.7999999999997
2004 Q4,nan county,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),18979
2004Q1,Roscommon,Hazardous,Industrial Hazardous Waste,7228.970000
2004Q1,co. Roscommon,Hazardous,M.e.d.i.c.a.l. W.a.s.t.e.,9163.450000
2004Q1,Roscommon co.,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,14244
2004-01-01,Roscommon Co.,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,24120
01 January 2004,Roscommon,Non-Hazardous,I.n.d.u.s.t.r.i.a.l. N.o.n.-H.a.z.a.r.d.o.u.s. W.a.s.t.e.,"21,464.25"
01/01/2004,Roscommon,Non-Hazardous,MUNICIPAL SOLID WASTE,14811.56
2004Q1,Roscommon,Non-Hazardous,ORGANIC WASTE,14060.23
01 January 2004,Sligo,Hazardous,CHEMICAL WASTE,21678.93
01/01/2004,County Sligo,Hazardous,ELECTRONIC WASTE (E-WASTE),21075.75
2004-01-01,Sligo,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,6014.45
01 January 2004,Sligo,Hazardous,MEDICAL WASTE,12905.340000
2004-01-01,Sligo,Non-Hazardous,Agricultural Waste,"15,443.32"
"January 01, 2004",Sligo,,Construction and Demolition Waste,"18,241.22"
2004 Q2,Sligo,Non-Hazardous,Waste Non-Hazardous Industrial,7237
"January 01, 2004",Sligo,,Municipal_Solid_Waste,8245.51
01-01-2004,,Non-Hazardous,ORGANIC WASTE,9701.020000
01-01-2004,Tipperary,Hazardous,Chemical Waste,19337
01 January 2004,Tipperary,Hazardous,   Electronic Waste (E-Waste)  ,19519.65
01-01-2004,county Tipperary,Hazardous,   Industrial Hazardous Waste  ,14825.760000
2004Q1,Tipperary,Hazardous,Medical Waste,18454
2004-01-01,Tipperary,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,9287.690000
2004Q1,Tipperary,Non-Hazardous,Waste and Demolition Construction,"13,782.89"
01 January 2004,Tipperary,Non-Hazardous,n a n ,14332
,Tipperary,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,9599.71
"January 01, 2004",Tipperary county,,   Organic Waste  ,8049.250000
01 January 2004,Waterford Co.,Hazardous,chemical waste,
2004Q1,Waterford,Hazardous,Electronic_Waste_(E-Waste),6693.9400000000005
01-01-2004,Waterford,Hazardous,industrial hazardous waste,9343.680000
2004Q1,Waterford,Hazardous,   Medical Waste  ,14127.980000
01-01-2004,Waterford,Non-Hazardous,Agricultural Waste,10279.7
2004Q1,Waterford county,Non-Hazardous,construction and demolition waste,19998.699999999997
2004Q1,Waterford,,Waste Non-Hazardous Industrial,15270.630000
Q4 2004,Waterford,Non-Hazardous,municipal solid waste,21425.34
"January 01, 2004",Waterford,Non-Hazardous,organic waste,"144,382.80"
2004Q1,,Hazardous,chemical waste,8801.110000
01/01/2004,Westmeath,Hazardous,,11971.119999999999
01/01/2004,Westmeath,,I n d u s t r i a l  H a z a r d o u s  W a s t e ,25176
2004Q1,Westmeath,Hazardous,Medical Waste,14909
2004-01-01,Westmeath Co.,Non-Hazardous,AGRICULTURAL WASTE,14683
01-01-2004,Westmeath,Non-Hazardous,   Construction and Demolition Waste  ,15390
"January 01, 2004",Westmeath,Non-Hazardous,I.n.d.u.s.t.r.i.a.l. N.o.n.-H.a.z.a.r.d.o.u.s. W.a.s.t.e.,13005.11
01 January 2004,County Westmeath,,   Municipal Solid Waste  ,"9,922.40"
2004Q1,Westmeath,Non-Hazardous,O r g a n i c  W a s t e ,12008.310000
"January 01, 2004",Wexford County,Hazardous,chemical waste,21133.490000
2004Q1,County Wexford,Hazardous,E l e c t r o n i c  W a s t e  (E -W a s t e ),"18,959.42"
01 January 2004,Wexford,,industrial hazardous waste,16620.99
2004Q1,Wexford,Hazardous,MEDICAL WASTE,13854
2004Q1,Wexford,Non-Hazardous,Agricultural_Waste,11791.59
2004-01-01,Wexford,Non-Hazardous,   Construction and Demolition Waste  ,20192.360000
01/01/2004,Wexford,Non-Hazardous,Waste Industrial Non-Hazardous,20659.86
01 January 2004,County Wexford,Non-Hazardous,Municipal Solid Waste,18236.520000
"January 01, 2004",Wexford,Non-Hazardous,Organic Waste,12048
01/01/2004,Wicklow,,,12030.050000
2004Q1,Wicklow,Hazardous,   Electronic Waste (E-Waste)  ,"14,902.49"
Q2 2004,Wicklow,Hazardous,industrial hazardous waste,"21,014.77"
01-01-2004,Wicklow Co.,Hazardous,Medical Waste,14161.94
,Wicklow,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,11712.560000000001
01/01/2004,Wicklow,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,16834.150000
2004Q1,Wicklow,Non-Hazardous,industrial non-hazardous waste,14819
01-01-2004,Wicklow,Non-Hazardous,MUNICIPAL SOLID WASTE,5386
01/01/2004,Wicklow,Non-Hazardous,Organic_Waste,19212.86
2004Q2,Antrim County,Hazardous,CHEMICAL WASTE,18300.92
2004Q2,Antrim,Hazardous,Electronic_Waste_(E-Waste),16384.700000
01 April 2004,Antrim,Hazardous,Hazardous Waste Industrial,14939.340000
01 April 2004,Antrim,Hazardous,M e d i c a l  W a s t e ,23244.220000
2004 Q3,Antrim co.,Non-Hazardous,   Agricultural Waste  ,10149
2004Q2,Antrim,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,7022.08
2004Q2,Antrim,Non-Hazardous,I n d u s t r i a l  N o n -H a z a r d o u s  W a s t e ,17298
2004 Q1,Antrim,Non-Hazardous,Municipal Solid Waste,21490.770000
2004Q2,Antrim,Non-Hazardous,O r g a n i c  W a s t e ,"3,986.22"
2004Q2,Carlow,Hazardous,Chemical_Waste,24072.489999999998
01-04-2004,Carlow,Hazardous,electronic waste (e-waste),14976
2004-04-01,Carlow,Hazardous,   Industrial Hazardous Waste  ,11755.09
2004Q2,Carlow,Hazardous,MEDICAL WASTE,9190.180000
01-04-2004,County Carlow,Non-Hazardous,agricultural waste,"18,551.64"
"April 01, 2004",County Carlow,Non-Hazardous,construction and demolition waste,20953.87
2004-04-01,Carlow,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,17159.960000
2004-04-01,Carlow county,Non-Hazardous,Municipal_Solid_Waste,14047.36
2004Q2,Carlow,Non-Hazardous,Organic_Waste,"13,777.72"
01 April 2004,Cavan,Hazardous,,19854.45
2004Q2,Cavan,Hazardous,Electronic_Waste_(E-Waste),94584.1
"April 01, 2004",,Hazardous,Industrial_Hazardous_Waste,"16,124.21"
01 April 2004,Cavan,Hazardous,Medical_Waste,21130.22
2004Q2,Cavan,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,"14,802.15"
2004Q2,Co. Cavan,Non-Hazardous,   Construction and Demolition Waste  ,25863.330000
2004-04-01,Cavan,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,"12,838.91"
01-04-2004,Cavan,Non-Hazardous,Municipal Solid Waste,15681
01 April 2004,Cavan,Non-Hazardous,O.r.g.a.n.i.c. W.a.s.t.e.,16585
2004-04-01,Clare,Hazardous,C h e m i c a l  W a s t e ,"21,367.18"
2004Q2,Clare county,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),24583.510000000002
01-04-2004,County Clare,Hazardous,,18966.760000
2004Q2,Clare,Hazardous,Medical Waste,27041.380000
2004Q2,Clare co.,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,15834.770000
"April 01, 2004",Clare,Non-Hazardous,   Construction and Demolition Waste  ,
01 April 2004,Clare County,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,9503.590000
2004Q2,Clare,Non-Hazardous,Waste Solid Municipal,"23,241.62"
Q2 2004,Clare,Non-Hazardous,O.r.g.a.n.i.c. W.a.s.t.e.,11995
01/04/2004,Cork,,C.h.e.m.i.c.a.l. W.a.s.t.e.,"15,951.19"
2004Q2,Cork,Hazardous,Electronic_Waste_(E-Waste),16040
01 April 2004,Cork County,Hazardous,Industrial_Hazardous_Waste,4401.48
01/04/2004,Cork co.,Hazardous,Medical Waste,17841.160000
01/04/2004,Cork,,agricultural waste,12356.71
2004Q2,Cork County,Non-Hazardous,Construction and Demolition Waste,12321.970000000001
2004-04-01,Cork,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,13442
,,Non-Hazardous,MUNICIPAL SOLID WASTE,"17,107.54"
2004-04-01,Cork,Non-Hazardous,Waste Organic,18298.600000
2004-04-01,Donegal,,Chemical_Waste,18265.06
01-04-2004,Donegal,Hazardous,E l e c t r o n i c  W a s t e  (E -W a s t e ),18920.210000
2004-04-01,Co. Donegal,Hazardous,INDUSTRIAL HAZARDOUS WASTE,4566.450000
2004Q2,Donegal,Hazardous,M e d i c a l  W a s t e ,15748.750000
2004Q2,Donegal,Non-Hazardous,   Agricultural Waste  ,12339.66
01-04-2004,Donegal,Non-Hazardous,and Demolition Waste Construction,9467.41
2004Q2,Donegal,Non-Hazardous,   Industrial Non-Hazardous Waste  ,13335
01 April 2004,County Donegal,Non-Hazardous,   Municipal Solid Waste  ,19817.190000000002
2004Q2,Donegal,Non-Hazardous,Waste Organic,"16,819.45"
2004 Q4,county Down,Hazardous,CHEMICAL WASTE,"18,427.05"
2004Q2,co. Down,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),11075.680000
2004Q2,Down,Hazardous,Industrial_Hazardous_Waste,10957.200000
Q2 2004,Down co.,Hazardous,Medical_Waste,11092.15
01/04/2004,Down,Non-Hazardous,,"21,038.00"
2004 Q1,Down,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,19492.190000
01 April 2004,County Down,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,14502.28
01 April 2004,County nan,Non-Hazardous,M u n i c i p a l  S o l i d  W a s t e ,18679.3
2004Q2,Down,Non-Hazardous,O r g a n i c  W a s t e ,10544.350000
2004Q2,Dublin,Hazardous,   Chemical Waste  ,158021.200000
"April 01, 2004",Dublin co.,Hazardous,Electronic_Waste_(E-Waste),10711.090000
01 April 2004,Dublin,Hazardous,Industrial Waste Hazardous,3347.370000
01 April 2004,Dublin,Hazardous,Medical Waste,16911
2004Q2,Dublin,Non-Hazardous,AGRICULTURAL WASTE,18407.010000000002
2004Q2,Dublin,Non-Hazardous,and Demolition Waste Construction,"7,363.81"
2004Q2,Dublin,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,14625.78
2004Q2,nan County,Non-Hazardous,Municipal Solid Waste,18281.440000000002
01 April 2004,Dublin,Non-Hazardous,organic waste,10212
,Galway,Hazardous,Chemical Waste,"17,583.80"
2004Q2,Co. Galway,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),"17,725.38"
2004Q2,Galway,Hazardous,Hazardous Industrial Waste,
2004Q2,Galway county,Hazardous,Medical_Waste,20671.32
01 April 2004,Galway,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,"11,997.54"
2004Q2,Galway,Non-Hazardous,construction and demolition waste,
2004Q2,,Non-Hazardous,Waste Industrial Non-Hazardous,13321.130000000001
2004Q2,Galway,Non-Hazardous,Municipal_Solid_Waste,13818.580000
2004-04-01,Galway,Non-Hazardous,   Organic Waste  ,25763
2004Q2,Kerry,Hazardous,   Chemical Waste  ,15883
2004 Q4,Kerry,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),"11,506.30"
01/04/2004,Kerry,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,13610.39
"April 01, 2004",Kerry,Hazardous,Medical_Waste,
,Kerry county,Non-Hazardous,Agricultural Waste,10160
"April 01, 2004",Kerry,Non-Hazardous,construction and demolition waste,"16,434.64"
2004Q2,Kerry,Non-Hazardous,Industrial_Non-Hazardous_Waste,12309.520000
01-04-2004,Kerry,Non-Hazardous,MUNICIPAL SOLID WASTE,"12,675.85"
2004Q2,Kerry,Non-Hazardous,Organic Waste,12059.58
2004-04-01,Kildare,Hazardous,chemical waste,"21,807.11"
2004Q2,Kildare,Hazardous,   Electronic Waste (E-Waste)  ,"17,772.20"
01-04-2004,Kildare,,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,19087.800000
"April 01, 2004",Co. Kildare,Hazardous,   Medical Waste  ,14124.849999999999
2004 Q1,Kildare,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,20883.260000
01-04-2004,Kildare,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,10732.210000000001
2004-04-01,Kildare,Non-Hazardous,Industrial Non-Hazardous Waste,19052
01 April 2004,Kildare,Non-Hazardous,Municipal Solid Waste,14718.810000000001
2004 Q3,Kildare,Non-Hazardous,organic waste,12361.93
2004Q2,Kilkenny co.,Hazardous,C.h.e.m.i.c.a.l. W.a.s.t.e.,15213
01/04/2004,Kilkenny,Hazardous,electronic waste (e-waste),17328
01/04/2004,Kilkenny,Hazardous,Hazardous Waste Industrial,"21,133.76"
01/04/2004,co. Kilkenny,Hazardous,MEDICAL WASTE,10452.38
01 April 2004,county Kilkenny,,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,14061.510000
