Quarter,County,Waste Type,Waste Category,Treatment Method,Waste Amount (tonnes),Price of Treatment (€ per tonne)
2004_Q2,,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,,65.17
2004_Q1,Cavan,Non-Hazardous,Municipal Solid Waste,,2459.0,70.83
2004_Q4,,Non-Hazardous,Organic Waste,Recovery - Composting,,72.52
2004_Q1,Cavan,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,5418.72,61.27
2004_Q2,Clare,Hazardous,Chemical Waste,Disposal - Incineration,7405.36,77.56
2004_Q1,Clare,Hazardous,Chemical Waste,Disposal - Other,3173.73,56.92
2004_Q1,Clare,Hazardous,Electronic Waste,,6560.0,279.81
2004_Q2,Clare,Hazardous,Electronic Waste,Disposal - Other,728.92,55.61
2004_Q1,Clare,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,8143.09,65.47
2004_Q4,Clare,Hazardous,Industrial Hazardous Waste,Disposal - Other,5428.72,79.03
2004_Q1,Clare,Hazardous,Medical Waste,Disposal - Incineration,14764.72,66.0
2004_Q1,Clare,Hazardous,Medical Waste,,3691.18,57.62
2004_Q1,Clare,Non-Hazardous,Agricultural Waste,Disposal - Landfill,5559.81,75.5
2004_Q1,Clare,Non-Hazardous,Agricultural Waste,Recovery - Composting,5559.81,41.09
2004_Q1,Clare,Non-Hazardous,Agricultural Waste,Disposal - Other,2779.91,40.0
2004_Q1,Clare,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,4551.46,77.0
2004_Q1,Clare,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,10620.07,21.37
2004_Q1,Clare,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,4790.21,44.0
2004_Q1,Clare,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,4790.21,65.73
2004_Q1,Clare,Non-Hazardous,N A N,Recovery - Energy Recovery,2395.1,70.0
2004_Q1,Clare,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,11983.39,58.68
2004_Q1,Clare,,Municipal Solid Waste,Recovery - Recycling,7190.0,76.0
2004_Q1,Clare,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,4793.36,70.21
2004_Q1,Clare,Non-Hazardous,Organic Waste,Recovery - Composting,15230.94,61.99
2004_Q1,Clare,,Organic Waste,Recovery - Energy Recovery,6527.55,69.34
2004_Q1,Cork,Hazardous,Chemical Waste,Disposal - Incineration,5305.99,286.58
2004_Q1,Cork,Hazardous,Chemical Waste,Disposal - Other,2274.0,60.11
2004_Q1,Cork,Hazardous,Electronic Waste,Recovery - Recycling,6289.5,56.31
2004_Q1,Cork,Hazardous,Electronic Waste,Disposal - Other,698.83,198.0
2004_Q1,Cork,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,11289.14,363.25
2004_Q1,Cork,,Industrial Hazardous Waste,Disposal - Other,7526.1,62.27
2004_Q1,Cork,Hazardous,Medical Waste,Disposal - Incineration,17223.15,71.22
2004_Q1,Cork,Hazardous,Medical Waste,Disposal - Other,4305.79,582.0
2004_Q1,Cork,Non-Hazardous,Agricultural Waste,Disposal - Landfill,5923.65,55.14
2004_Q1,Cork,Non-Hazardous,Agricultural Waste,Recovery - Composting,5923.65,74.58
2004_Q1,Cork,Non-Hazardous,Agricultural Waste,Disposal - Other,2961.83,72.19
2004_Q1,Cork,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,8135.84,61.0
2004_Q1,Cork,,Construction and Demolition Waste,,18983.61,49.53
2004_Q1,,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,7937.82,63.3
2004_Q1,Cork,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,7937.82,73.77
2004_Q1,Cork,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3968.91,52.27
2004_Q1,Cork,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,8108.74,61.35
,Cork,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,4865.25,50.55
2004_Q1,Cork,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3243.5,59.91
,Cork,Non-Hazardous,Organic Waste,Recovery - Composting,14034.93,71.54
2004_Q1,Cork,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,6014.97,58.95
2004_Q1,Donegal,Hazardous,Chemical Waste,Disposal - Incineration,7599.49,277.0
2004_Q1,Donegal,Hazardous,Chemical Waste,Disposal - Other,32569.2,62.7
2004_Q1,Donegal,Hazardous,Electronic Waste,Recovery - Recycling,20571.02,52.0
2004_Q1,Donegal,Hazardous,Electronic Waste,Disposal - Other,2285.0,197.43
2004_Q1,Donegal,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,5981.88,73.97
2004_Q1,Donegal,Hazardous,Industrial Hazardous Waste,,3987.92,74.48
2004_Q1,Donegal,Hazardous,Medical Waste,Disposal - Incineration,12897.25,70.13
2004_Q4,Donegal,Hazardous,Medical Waste,Disposal - Other,3224.31,58.0
2004_Q3,Donegal,Non-Hazardous,Agricultural Waste,Disposal - Landfill,7031.91,79.01
2004_Q1,Donegal,Non-Hazardous,Agricultural Waste,Recovery - Composting,7031.91,35.66
,Donegal,Non-Hazardous,Agricultural Waste,Disposal - Other,3515.95,52.0
2004_Q1,Donegal,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,5835.02,68.48
2004_Q3,Donegal,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,13615.04,59.96
2004_Q1,Donegal,Non-Hazardous,Industrial Hazardous Waste,Disposal - Landfill,6495.0,66.89
2004_Q1,Donegal,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,6495.41,71.0
2004_Q1,Donegal,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,,52.6
2004_Q4,Donegal,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,9246.64,62.58
2004_Q1,Donegal,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,5547.98,68.91
2004_Q1,Donegal,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3698.65,61.36
2004_Q1,Donegal,Non-Hazardous,Organic Waste,Recovery - Composting,16986.96,45.81
2004_Q1,Donegal,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,7280.12,42.09
2004_Q1,Down,Hazardous,Chemical Waste,Disposal - Incineration,14320.21,59.0
2004_Q1,Down,Hazardous,Chemical Waste,Disposal - Other,6137.23,73.39
2004_Q1,Down,Hazardous,Electronic Waste,Recovery - Recycling,9616.35,70.25
2004_Q1,Down,Hazardous,Electronic Waste,Disposal - Other,1068.48,61.25
2004_Q1,Down,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,10540.49,72.0
2004_Q1,Down,Hazardous,Industrial Hazardous Waste,Disposal - Other,7027.0,467.28
2004_Q1,Down,Hazardous,Medical Waste,Disposal - Incineration,7886.58,56.0
2004_Q1,Down,Hazardous,Medical Waste,Disposal - Other,1971.65,313.01
2004_Q1,Down,Non-Hazardous,Agricultural Waste,Disposal - Landfill,4381.76,70.91
2004_Q1,Down,Non-Hazardous,Agricultural Waste,Recovery - Composting,4381.76,68.03
2004_Q1,Down,Non-Hazardous,Agricultural Waste,Disposal - Other,2190.0,52.0
2004_Q1,,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3674.12,36.0
2004_Q1,Down,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,8572.95,69.88
2004_Q1,Down,,Industrial Non-Hazardous Waste,Disposal - Landfill,6319.94,61.0
2004_Q1,Down,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,6319.94,50.7
2004_Q1,Down,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3159.97,53.51
2004_Q1,,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,8140.99,52.21
2004_Q1,Down,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,4884.59,61.12
2004_Q1,Down,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3256.39,70.72
2004_Q1,Down,Non-Hazardous,Organic Waste,Recovery - Composting,9368.01,53.38
2004_Q1,Down,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,4014.86,44.08
2004_Q1,Dublin,Hazardous,Chemical Waste,Disposal - Incineration,10857.85,77.24
2004_Q1,Dublin,Hazardous,Chemical Waste,Disposal - Other,4653.37,67.52
2004_Q1,,Hazardous,Electronic Waste,Recovery - Recycling,14260.06,70.44
2004_Q1,Dublin,Hazardous,Electronic Waste,Disposal - Other,1584.45,69.3
2004_Q1,Dublin,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,4735.99,400.0
2004_Q1,Dublin,Hazardous,Industrial Hazardous Waste,Disposal - Other,3157.32,75.0
2004_Q1,,Hazardous,Medical Waste,Disposal - Incineration,12525.41,65.06
2004_Q1,Dublin,Hazardous,Medical Waste,Disposal - Other,3131.35,66.0
2004_Q1,Dublin,Non-Hazardous,Agricultural Waste,Disposal - Landfill,8996.78,44.81
2004_Q1,Dublin,Non-Hazardous,Agricultural Waste,Recovery - Composting,8996.78,70.5
2004_Q1,Dublin,Non-Hazardous,,Disposal - Other,4498.39,62.66
2004_Q1,Dublin,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3105.17,53.71
2004_Q1,Dublin,Non-Hazardous,Construction and Demolition Waste,,7245.39,54.22
2004_Q1,Dublin,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,4538.0,64.0
2004_Q1,Dublin,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,4538.0,61.85
2004_Q1,Dublin,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,2269.0,52.83
2004_Q1,Dublin,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,9800.52,57.5
2004_Q1,Dublin,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,5880.31,75.4
,Dublin,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,39202.1,53.22
2004_Q1,Dublin,Non-Hazardous,Organic Waste,Recovery - Composting,14499.32,45.2
2004_Q1,Dublin,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,6213.99,66.47
2004_Q3,Galway,Hazardous,,Disposal - Incineration,12419.65,67.35
2004_Q1,Galway,Hazardous,Chemical Waste,Disposal - Other,5322.71,68.17
2004_Q1,Galway,Hazardous,Electronic Waste,Recovery - Recycling,15654.65,254.42
2004_Q1,Galway,Hazardous,Electronic Waste,Disposal - Other,1739.41,63.03
2004_Q1,Galway,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,12584.88,78.0
2004_Q1,Galway,Hazardous,Industrial Hazardous Waste,Disposal - Other,8389.92,62.64
2004_Q1,Galway,Hazardous,Medical Waste,,19292.82,75.82
2004_Q1,Galway,Hazardous,Medical Waste,Disposal - Other,4823.21,424.66
2004_Q1,Galway,Non-Hazardous,Agricultural Waste,Disposal - Landfill,6001.16,71.27
2004_Q1,Galway,Non-Hazardous,Agricultural Waste,Recovery - Composting,6001.0,47.0
2004_Q1,,Non-Hazardous,Agricultural Waste,Disposal - Other,3000.58,58.25
2004_Q1,Galway,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,7499.0,60.75
2004_Q1,Galway,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,17498.86,45.04
2004_Q1,Galway,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,3313.68,46.0
2004_Q1,Galway,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,,67.12
2004_Q1,Galway,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,1656.84,61.0
2004_Q1,Galway,Non-Hazardous,,Disposal - Landfill,5526.08,53.0
,Galway,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,3315.65,68.5
2004_Q1,Galway,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,2210.43,59.71
2004_Q1,Galway,Non-Hazardous,Organic Waste,Recovery - Composting,10704.41,56.73
2004_Q1,Galway,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,4587.0,44.0
2004_Q1,Kerry,Hazardous,Chemical Waste,Disposal - Incineration,9008.79,59.98
2004_Q4,Kerry,Hazardous,Chemical Waste,Disposal - Other,3860.91,306.03
2004_Q3,Kerry,Hazardous,Electronic Waste,Recovery - Recycling,12625.4,288.89
,Kerry,Hazardous,Electronic Waste,Disposal - Other,1402.82,73.13
2004_Q1,Kerry,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,7547.39,66.0
2004_Q1,Kerry,Hazardous,Industrial Hazardous Waste,Disposal - Other,5031.6,53.62
2004_Q1,Kerry,,Medical Waste,Disposal - Incineration,11775.71,302.84
2004_Q1,Kerry,Hazardous,Medical Waste,Disposal - Other,2943.93,62.0
2004_Q1,Kerry,Non-Hazardous,Agricultural Waste,Disposal - Landfill,6437.9,80.0
2004_Q1,Kerry,Non-Hazardous,,Recovery - Composting,6437.9,71.0
2004_Q1,Kerry,Non-Hazardous,Agricultural Waste,Disposal - Other,3.2183218321832185e+39,79.65
2004_Q1,Kerry,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3469.93,67.7
2004_Q3,Kerry,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,8096.0,40.0
2004_Q1,,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,55852.9,76.57
2004_Q1,Kerry,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,5585.29,59.81
2004_Q1,Kerry,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,2792.65,50.0
,Kerry,Non-Hazardous,Municipal Solid Waste,,11340.78,74.32
2004_Q1,Kerry,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,6804.47,55.0
2004_Q1,Kerry,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,4536.31,52.01
2004_Q1,Kerry,Non-Hazardous,Organic Waste,Recovery - Composting,13491.0,65.12
2004_Q1,Kerry,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,5782.0,67.64
2004_Q1,Kildare,Hazardous,Chemical Waste,Disposal - Incineration,5433.53,74.0
2004_Q1,Kildare,Hazardous,Chemical Waste,Disposal - Other,2328.65,78.13
2004_Q1,Kildare,Hazardous,,Recovery - Recycling,,59.66
2004_Q1,,Hazardous,Electronic Waste,Disposal - Other,1390.81,74.16
2004_Q1,Kildare,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,4951.15,59.28
2004_Q1,Kildare,Hazardous,Industrial Hazardous Waste,Disposal - Other,3300.0,375.9
2004_Q2,Kildare,Hazardous,Medical Waste,Disposal - Incineration,,57.93
2004_Q1,Kildare,Hazardous,,Disposal - Other,2610.4,77.67
2004_Q1,Kildare,Non-Hazardous,Agricultural Waste,Disposal - Landfill,6967.0,58.67
2004_Q1,Kildare,Non-Hazardous,Agricultural Waste,Recovery - Composting,6967.42,39.56
2004_Q1,Kildare,Non-Hazardous,Agricultural Waste,,3483.71,70.32
2004_Q1,Kildare,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,6065.68,50.11
,Kildare,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,14153.26,70.82
2004_Q1,Kildare,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,5493.91,75.0
2004_Q1,Kildare,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,5493.91,60.57
2004_Q1,Kildare,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,2746.96,67.17
2004_Q1,Kildare,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,1686.52,60.27
2004_Q1,,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,1011.91,63.34
2004_Q1,Kildare,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,674.0,75.54
2004_Q1,Kildare,Non-Hazardous,Organic Waste,Recovery - Composting,8168.0,63.98
2004_Q1,Kildare,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,,51.25
2004_Q1,Kilkenny,Hazardous,Chemical Waste,Disposal - Incineration,10994.96,55.75
2004_Q1,Kilkenny,,Chemical Waste,Disposal - Other,,63.0
2004_Q1,Kilkenny,Hazardous,Electronic Waste,Recovery - Recycling,5066.69,234.0
2004_Q1,Kilkenny,Hazardous,Electronic Waste,Disposal - Other,562.97,274.5
2004_Q1,Kilkenny,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,5919.77,53.88
2004_Q1,Kilkenny,Hazardous,Industrial Hazardous Waste,Disposal - Other,3946.52,74.0
2004_Q1,Kilkenny,Hazardous,Medical Waste,Disposal - Incineration,8171.91,76.02
2004_Q1,Kilkenny,Hazardous,Medical Waste,Disposal - Other,2042.98,354.0
2004_Q1,Kilkenny,Non-Hazardous,Agricultural Waste,Disposal - Landfill,9145.04,49.15
2004_Q1,Kilkenny,Non-Hazardous,Agricultural Waste,Recovery - Composting,9145.04,52.8
2004_Q1,Kilkenny,Non-Hazardous,Agricultural Waste,Disposal - Other,4572.52,53.0
2004_Q1,Kilkenny,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,5112.75,51.57
2004_Q1,Kilkenny,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,11929.76,48.44
2004_Q1,Kilkenny,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,5810.36,69.23
2004_Q1,Kilkenny,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,5810.36,54.0
2004_Q1,Kilkenny,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,2905.0,56.63
2004_Q1,Kilkenny,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,3199.84,75.68
2004_Q1,Kilkenny,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,1919.9,63.95
2004_Q1,Kilkenny,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,1279.93,76.1
2004_Q1,Kilkenny,Non-Hazardous,,Recovery - Composting,10591.0,57.27
2004_Q1,Kilkenny,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,4539.26,67.88
2004_Q1,Laois,Hazardous,Chemical Waste,Disposal - Incineration,12585.85,58.68
2004_Q1,Laois,,Chemical Waste,Disposal - Other,5393.93,74.26
2004_Q1,,Hazardous,Electronic Waste,Recovery - Recycling,14606.95,59.0
2004_Q1,Laois,Hazardous,Electronic Waste,Disposal - Other,1622.99,62.0
2004_Q3,Laois,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,13613.17,60.78
2004_Q1,Laois,Hazardous,Industrial Hazardous Waste,Disposal - Other,9075.44,278.41
2004_Q1,Laois,Hazardous,Medical Waste,Disposal - Incineration,,564.0
2004_Q1,,Hazardous,Medical Waste,Disposal - Other,3565.57,69.05
,Laois,Non-Hazardous,Agricultural Waste,,9020.38,72.0
2004_Q1,Laois,Non-Hazardous,N A N,Recovery - Composting,9020.38,63.26
2004_Q1,Laois,Non-Hazardous,Agricultural Waste,Disposal - Other,4510.19,50.38
,Laois,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,5542.5,64.0
2004_Q1,Laois,,Construction and Demolition Waste,Recovery - Recycling,12932.5,34.66
2004_Q1,Laois,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,6617.8,52.58
2004_Q1,Laois,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,6617.8,60.89
2004_Q1,Laois,,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3308.9,51.98
2004_Q1,Laois,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,,61.74
2004_Q1,Laois,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,1184.82,50.92
2004_Q1,Laois,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,789.88,60.4
2004_Q1,Laois,Non-Hazardous,Organic Waste,Recovery - Composting,13707.3,77.16
2004_Q2,Laois,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,5874.56,54.58
2004_Q1,,Hazardous,Chemical Waste,Disposal - Incineration,10501.34,64.54
2004_Q1,Limerick,Hazardous,Chemical Waste,Disposal - Other,4500.58,56.43
2004_Q1,Limerick,Hazardous,Electronic Waste,Recovery - Recycling,17769.53,66.0
2004_Q1,Limerick,Hazardous,Electronic Waste,Disposal - Other,,54.88
2004_Q3,,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,5633.35,387.0
2004_Q1,Limerick,Hazardous,Industrial Hazardous Waste,Disposal - Other,3755.57,56.29
2004_Q1,Limerick,Hazardous,Medical Waste,Disposal - Incineration,18460.78,568.97
2004_Q1,Limerick,Hazardous,Medical Waste,Disposal - Other,4615.19,492.49
2004_Q1,Limerick,Non-Hazardous,Agricultural Waste,Disposal - Landfill,4745.95,64.56
2004_Q1,Limerick,Non-Hazardous,Agricultural Waste,Recovery - Composting,4745.95,51.49
2004_Q1,Limerick,Non-Hazardous,Agricultural Waste,Disposal - Other,2372.98,72.63
2004_Q1,Limerick,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,2431.34,40.96
2004_Q1,Limerick,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,5673.11,72.44
2004_Q1,Limerick,Non-Hazardous,Industrial Non-Hazardous Waste,,6965.49,74.64
2004_Q1,Limerick,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,6965.0,74.79
2004_Q1,Limerick,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3482.74,62.24
2004_Q1,Limerick,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,9434.22,51.47
2004_Q1,Limerick,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,5660.53,68.27
2004_Q1,Limerick,,Municipal Solid Waste,Recovery - Energy Recovery,3773.69,61.0
2004_Q2,Limerick,Non-Hazardous,Organic Waste,Recovery - Composting,13039.4,78.0
2004_Q1,Limerick,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,5588.31,53.0
2004_Q1,Louth,Hazardous,Chemical Waste,Disposal - Incineration,9313.28,78.0
